Data in US Dollars;;;;;
;2022;Q1 2022;Q2 2022;Q3 2022;Q4 2022
Portfolio investment income;308,00;38,00;76,00;138,00;56,00
Investment income on equity and investment fund shares;5,00;2,00;1,00;0,00;2,00
Dividends on equity excluding investment fund shares;5,00;2,00;1,00;0,00;2,00
Investment income attributable to investment fund shareholders;;;;;
Interest;303,00;36,00;75,00;138,00;54,00
Other investment income;-69,00;-9,00;-18,00;-16,00;-26,00
Withdrawals from income of quasi-corporations;;;;;
Interest;-69,00;-9,00;-18,00;-16,00;-26,00
Investment income attributable to policyholders in insurance, pension schemes, and standardized guarantees;;;;;
Income on reserve assets;93,00;15,00;22,00;25,00;31,00
Income on equity and investment fund shares;0,00;0,00;0,00;0,00;0,00
Interest;93,00;15,00;22,00;25,00;31,00
Investment income, debit;6.064,00;1.430,00;1.630,00;1.259,00;1.745,00
Direct investment income;2.179,00;628,00;664,00;361,00;526,00
Income on equity and investment fund shares;2.142,00;616,00;653,00;350,00;523,00
Dividends and withdrawals from income of quasi-corporations;1.314,00;451,00;488,00;101,00;274,00
Reinvested earnings (direct investor in direct investment enterprises);828,00;165,00;165,00;249,00;249,00
Interest;37,00;12,00;11,00;11,00;3,00
Portfolio investment income;1.106,00;108,00;398,00;232,00;368,00
Investment income on equity and investment fund shares;96,00;18,00;40,00;9,00;29,00
Dividends on equity excluding investment fund shares;96,00;18,00;40,00;9,00;29,00
Portfolio investment income attributable to investment fund shareholders;;;;;
Interest;1.010,00;90,00;358,00;223,00;339,00
Other investment income;2.779,00;694,00;568,00;666,00;851,00
Withdrawals from income of quasi-corporations;;;;;
Interest;2.779,00;694,00;568,00;666,00;851,00
Income attributable to policyholders in insurance, pension schemes, and standardized guarantees;;;;;
Other primary income, credit;32,00;;32,00;0,00;0,00
Other primary income, debit;0,00;;0,00;0,00;0,00
Secondary income;30.825,00;7.627,00;8.568,00;8.011,00;6.619,00
Credit;31.115,00;7.706,00;8.633,00;8.050,00;6.726,00
General government;367,00;93,00;93,00;84,00;97,00
Financial corporations, nonfinancial corporations, households, and NPISHs;30.748,00;7.613,00;8.540,00;7.966,00;6.629,00
Personal transfers;29.889,00;7.211,00;8.260,00;7.897,00;6.521,00
Other current transfers;859,00;402,00;280,00;69,00;108,00
Debit;290,00;79,00;65,00;39,00;107,00
General government;22,00;2,00;14,00;1,00;5,00
Financial corporations, nonfinancial corporations, households, and NPISHs;268,00;77,00;51,00;38,00;102,00
Personal transfers;180,00;40,00;32,00;28,00;80,00
Other current transfers;88,00;37,00;19,00;10,00;22,00
Capital account;406,00;50,00;39,00;34,00;283,00
Gross disposals of nonproduced, nonfinancial assets, credit;0,00;0,00;0,00;0,00;0,00
Gross acquisitions of nonproduced, nonfinancial assets, debit;0,00;0,00;0,00;0,00;0,00
Capital transfers, credit;406,00;50,00;39,00;34,00;283,00
General government;170,00;47,00;33,00;31,00;59,00
Debt forgiveness;;;;;
Other capital transfers;170,00;47,00;33,00;31,00;59,00
Financial corporations, nonfinancial corporations, households, and NPISHs;236,00;3,00;6,00;3,00;224,00
Capital transfers, debit;0,00;0,00;0,00;0,00;0,00
General government;0,00;0,00;0,00;0,00;0,00
Debt forgiveness;;;;;
Other capital transfers;0,00;0,00;0,00;0,00;0,00
Financial corporations, nonfinancial corporations, households, and NPISHs;0,00;0,00;0,00;0,00;0,00
Financial account;-11.616,09;-3.827,05;-4.061,57;-2.407,76;-1.319,72
Direct investment;-305,00;-91,00;-496,00;-353,00;635,00
Net acquisition of financial assets;1.157,00;102,00;87,00;28,00;940,00
Equity and investment fund shares;947,00;30,00;-3,00;13,00;907,00
Equity other than reinvestment of earnings;953,00;0,00;9,00;1,00;943,00
Direct investor in direct investment enterprises;953,00;0,00;9,00;1,00;943,00
Direct investment enterprises in direct investor (reverse investment);;;;;
Between fellow enterprises;;;;;
Reinvestment of earnings (direct investor in direct investment enterprises);-6,00;30,00;-12,00;12,00;-36,00
Debt instruments;210,00;72,00;90,00;15,00;33,00
Direct investor in direct investment enterprises;210,00;72,00;90,00;15,00;33,00
Direct investment enterprises in direct investor (reverse investment);;;;;
Between fellow enterprises;;;;;
Net incurrence of liabilities;1.462,00;193,00;583,00;381,00;305,00
Equity and investment fund shares;1.491,00;394,00;366,00;420,00;311,00
Equity other than reinvestment of earnings;663,00;229,00;201,00;171,00;62,00
Direct investor in direct investment enterprises;663,00;229,00;201,00;171,00;62,00
Direct investment enterprises in direct investor (reverse investment);;;;;
Between fellow enterprises;;;;;
Reinvestment of earnings (direct investor in direct investment enterprises);828,00;165,00;165,00;249,00;249,00
Debt instruments;-29,00;-201,00;217,00;-39,00;-6,00
Direct investor in direct investment enterprises;-29,00;-201,00;217,00;-39,00;-6,00
Direct investment enterprises in direct investor (reverse investment);;;;;
Between fellow enterprises;;;;;
Portfolio investment;714,00;-555,00;236,00;30,00;1.003,00
Net acquisition of financial assets;8,00;13,00;-5,00;0,00;0,00
Equity and investment fund shares;12,00;13,00;-1,00;0,00;0,00
Central bank;;;;;
Deposit-taking corporations, except the central bank;;;;;
General government;;;;;
Other sectors;12,00;13,00;-1,00;0,00;0,00
of which: other financial corporations;;;;;
Debt securities;-4,00;0,00;-4,00;0,00;0,00
Central bank;;;;;
Deposit-taking corporations, except the central bank;-4,00;0,00;-4,00;0,00;0,00
General government;;;;;
Other sectors;0,00;0,00;0,00;0,00;0,00
of which: other financial corporations;;;;;
Net incurrence of liabilities;-706,00;568,00;-241,00;-30,00;-1.003,00
Equity and investment fund shares;-93,00;-34,00;-47,00;-11,00;-1,00
Central bank;0,00;0,00;0,00;0,00;0,00
Deposit-taking corporations, except the central bank;0,00;0,00;0,00;0,00;0,00
General government;0,00;0,00;0,00;0,00;0,00
Other sectors;-93,00;-34,00;-47,00;-11,00;-1,00
of which: other financial corporations;;;;;
Debt securities;-613,00;602,00;-194,00;-19,00;-1.002,00
Central bank;0,00;0,00;0,00;0,00;0,00
Deposit-taking corporations, except the central bank;0,00;0,00;0,00;0,00;0,00
General government;-613,00;602,00;-194,00;-19,00;-1.002,00
Other sectors;0,00;0,00;0,00;0,00;0,00
of which: other financial corporations;;;;;
Financial derivatives (other than reserves) and employee stock options;-6,00;-3,00;3,00;-1,00;-5,00
Net acquisition of financial assets;-9,00;-2,00;0,00;-1,00;-6,00
Net incurrence of liabilities;-3,00;1,00;-3,00;0,00;-1,00
Other investment;-57,79;2.536,97;-2.322,96;131,15;-402,95
Net acquisition of financial assets;734,00;1.947,00;162,00;167,00;-1.542,00
Other equity;0,00;0,00;0,00;0,00;0,00
Debt instruments;734,00;1.947,00;162,00;167,00;-1.542,00
Central bank;;;;;
Deposit-taking corporations, except the central bank;123,00;573,00;-262,00;104,00;-292,00
General government;15,00;908,00;5,00;11,00;-909,00
Other sectors;596,00;466,00;419,00;52,00;-341,00
of which: other financial corporations;596,00;466,00;419,00;52,00;-341,00
Net incurrence of liabilities;791,79;-589,97;2.484,96;35,85;-1.139,05
Other equity;0,00;0,00;0,00;0,00;0,00
Special drawing rights (allocations);0,00;0,00;0,00;0,00;0,00
Other debt instruments;791,79;-589,97;2.484,96;35,85;-1.139,05
Central bank;-981,94;-222,01;-281,04;-199,84;-279,05
Deposit-taking corporations, except the central bank;126,00;-84,00;355,00;-23,00;-122,00
General Government;-11,27;-820,96;1.078,00;251,69;-520,00
Other sectors;1.659,00;537,00;1.333,00;7,00;-218,00
of which: other financial corporations;1.543,00;537,00;1.333,00;-130,00;-197,00
Reserve assets;-11.961,31;-5.715,02;-1.481,60;-2.214,91;-2.549,77
Monetary gold;0,00;0,00;0,00;0,00;0,00
Special drawing rights;-2.861,31;-33,02;-2.662,60;-75,91;-89,77
Reserve position in the IMF;0,00;0,00;0,00;0,00;0,00
Other reserve assets;-9.100,00;-5.682,00;1.181,00;-2.139,00;-2.460,00
Net errors and omissions;194,01;25,03;366,29;-0,73;-196,57
International Investment Positions;;;;;
Assets;22.709,09;29.875,39;27.837,45;25.168,82;22.709,09
Direct investment;3.058,32;1.944,62;1.898,95;1.925,56;3.058,32
Equity and investment fund shares;2.890,08;1.861,57;1.815,89;1.842,51;2.890,08
Direct investor in direct investment enterprises;2.890,08;1.861,57;1.815,89;1.842,51;2.890,08
Direct investment enterprises in direct investor (reverse investment);0,00;0,00;0,00;0,00;0,00
Between fellow enterprises;0,00;0,00;0,00;0,00;0,00
Debt instruments;168,24;83,06;83,06;83,06;168,24
Direct investor in direct investment enterprises;4,01;1,48;1,48;1,48;4,01
Direct investment enterprises in direct investor (reverse investment);164,23;81,57;81,57;81,57;164,23
Between fellow enterprises;0,00;0,00;0,00;0,00;0,00
Portfolio investment;391,38;437,50;400,43;400,43;391,38
Equity and investment fund shares;166,04;210,85;198,39;198,39;166,04
Central bank;0,00;0,00;0,00;0,00;0,00
Deposit-taking corporations, except the central bank;157,00;199,41;187,56;187,56;157,00
General government;0,00;0,00;0,00;0,00;0,00
Other sectors;9,04;11,44;10,83;10,83;9,04
of which: other financial corporations;8,88;11,24;10,65;10,65;8,88
Debt securities;225,34;226,65;202,04;202,04;225,34
Central bank;0,00;0,00;0,00;0,00;0,00
Deposit-taking corporations, except the central bank;179,56;206,71;160,04;160,04;179,56
General government;0,00;0,00;0,00;0,00;0,00
Other sectors;45,78;19,94;42,01;42,01;45,78
of which: other financial corporations;45,78;19,94;42,01;42,01;45,78
Financial derivatives (other than reserves) and employee stock options;17,38;8,19;6,12;53,85;17,38
Other investment;9.315,41;10.539,24;10.664,98;10.689,55;9.315,41
Other equity;0,00;0,00;0,00;0,00;0,00
Debt instruments;9.315,41;10.539,24;10.664,98;10.689,55;9.315,41
Central bank;0,00;0,00;0,00;0,00;0,00
Deposit-taking corporations, except the central bank;2.253,01;3.057,54;2.865,41;2.648,81;2.253,01
General government;237,40;1.135,02;1.144,74;1.155,62;237,40
Other sectors;6.825,00;6.346,69;6.654,83;6.885,12;6.825,00
of which: other financial corporations;46,62;55,31;37,43;40,76;46,62
Reserve assets;9.926,60;16.945,83;14.866,96;12.099,42;9.926,60
Monetary gold;3.767,29;4.036,79;3.776,67;3.475,03;3.767,29
Special drawing rights;44,18;2.958,14;212,65;130,84;44,18
Reserve position in the fund;0,16;0,16;0,16;0,15;0,16
Other reserve assets;6.114,97;9.950,74;10.877,49;8.493,40;6.114,97
Liabilities;150.784,28;158.538,21;158.964,16;155.673,21;150.784,28
Direct investment;25.456,13;31.497,00;31.186,88;31.084,48;25.456,13
Equity and investment fund shares;21.029,84;27.598,56;27.088,77;27.037,76;21.029,84
Direct investor in direct investment enterprises;21.029,84;27.598,56;27.088,77;27.037,76;21.029,84
Direct investment enterprises in direct investor (reverse investment);0,00;0,00;0,00;0,00;0,00
Between fellow enterprises;0,00;0,00;0,00;0,00;0,00
Debt instruments;4.426,29;3.898,43;4.098,11;4.046,71;4.426,29
Direct investor in direct investment enterprises;4.426,29;3.898,43;4.098,11;4.046,71;4.426,29
Direct investment enterprises in direct investor (reverse investment);0,00;0,00;0,00;0,00;0,00
Between fellow enterprises;0,00;0,00;0,00;0,00;0,00
Portfolio investment;9.574,53;11.478,06;10.967,34;10.843,07;9.574,53
Equity and investment fund shares;1.269,91;1.951,92;1.640,29;1.520,08;1.269,91
Central bank;;;;;
Deposit-taking corporations, except the central bank;688,41;1.015,22;883,20;836,45;688,41
General government;;;;;
Other sectors;581,50;936,70;757,09;683,63;581,50
of which: other financial corporations;;;;;
Debt securities;8.304,62;9.526,14;9.327,05;9.322,99;8.304,62
Central bank;0,00;0,00;0,00;0,00;0,00
Deposit-taking corporations, except the central bank;0,00;0,00;0,00;0,00;0,00
General government;7.804,62;9.026,14;8.827,05;8.822,99;7.804,62
Other sectors;500,00;500,00;500,00;500,00;500,00
of which: other financial corporations;0,00;0,00;0,00;0,00;0,00
Financial derivatives (other than reserves) and employee stock options;11,80;9,63;10,10;31,35;11,80
Other investment;115.741,81;115.553,52;116.799,84;113.714,31;115.741,81
Other equity;;;;;
Special drawing rights;3.906,27;4.057,60;3.897,29;3.756,69;3.906,27
Other debt instruments;111.835,54;111.495,92;112.902,55;109.957,62;111.835,54
Central bank;9.301,88;10.577,39;9.938,75;9.348,68;9.301,88
Deposit-taking corporations, except the central bank;5.240,61;5.486,12;5.636,84;5.424,81;5.240,61
General government;76.530,75;76.731,00;77.309,08;75.315,90;76.530,75
Other sectors;20.762,29;18.701,40;20.017,88;19.868,24;20.762,29
of which: other financial corporations;0,00;0,00;0,00;0,00;0,00
Net international investment position;-128.075,19;-128.662,82;-131.126,71;-130.504,39;-128.075,19
Special Purpose Entities;;;;;
Balance of Payments;;;;;
Current Account;;;;;
Credit;;;;;
Debit;;;;;
Goods;;;;;
Credit;;;;;
Of which: Net exports of goods under merchanting by resident SPEs;;;;;
Debit;;;;;
Services;;;;;
Credit;;;;;
Debit;;;;;
Of which: Transport;;;;;
Credit;;;;;
Debit;;;;;
Of which: Financial services;;;;;
Credit;;;;;
Debit;;;;;
Of which: Charges for the use of intellectual property n.i.e.;;;;;
Credit;;;;;
Debit;;;;;
Of which: Other business services;;;;;
Credit;;;;;
Debit;;;;;
Primary Income;;;;;
Credit;;;;;
Debit;;;;;
Investment income;;;;;
Credit;;;;;
Debit;;;;;
Direct investment;;;;;
Credit;;;;;
Debit;;;;;
Dividends and withdrawals from income of quasi-corporations;;;;;
Credit;;;;;
Debit;;;;;
Direct investor in direct investment enterprises;;;;;
Credit;;;;;
Debit;;;;;
Direct investment enterprises in direct investor (reverse investment);;;;;
Credit;;;;;
Debit;;;;;
Between fellow enterprises;;;;;
Credit;;;;;
Debit;;;;;
Reinvested earnings;;;;;
Credit;;;;;
Debit;;;;;
Interest;;;;;
Credit;;;;;
Debit;;;;;
Direct investor in direct investment enterprises;;;;;
Credit;;;;;
Debit;;;;;
Direct investment enterprises in direct investor (reverse investment);;;;;
Credit;;;;;
Debit;;;;;
Between fellow enterprises;;;;;
Credit;;;;;
Debit;;;;;
Portfolio investment;;;;;
Credit;;;;;
Debit;;;;;
Dividends on equity excluding investment fund shares;;;;;
Credit;;;;;
Debit;;;;;
Reinvested earnings;;;;;
Credit;;;;;
Debit;;;;;
Interest;;;;;
Credit;;;;;
Debit;;;;;
Other investment;;;;;
Credit;;;;;
Debit;;;;;
Interest;;;;;
Credit;;;;;
Debit;;;;;
Secondary Income;;;;;
Credit;;;;;
Debit;;;;;
Capital Account;;;;;
Credit;;;;;
Debit;;;;;
Gross acquisitions (DR.) / disposals (CR.) of nonproduced nonfinancial assets;;;;;
Credit;;;;;
Debit;;;;;
Financial Account;;;;;
Direct Investment;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Equity and investment fund Shares;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Equity other than reinvestment of earnings;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Direct investor in direct investment enterprises;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Direct investment enterprises in direct investor (reverse investment);;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Between fellow enterprises;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
If ultimate controlling parent is resident;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
If ultimate controlling parent is nonresident;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
If ultimate controlling parent is unknown;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Reinvestment of earnings;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Debt Instruments;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Direct investor in direct investment enterprises;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Direct investment enterprises in direct investor (reverse investment);;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Between fellow enterprises;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
If ultimate controlling parent is resident;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
If ultimate controlling parent is nonresident;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
If ultimate controlling parent is unknown;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Portfolio investment;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Equity and investment fund shares;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Debt securities;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Short-term;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Long-term;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Other investment;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Short-term;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Long-term;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Financial derivatives (other than reserves) and employee stock options;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
International Investment Position;;;;;
International Investment Position (Net);;;;;
Assets;;;;;
Liabilities;;;;;
Direct Investment;;;;;
Assets;;;;;
Liabilities;;;;;
Equity and investment fund Shares;;;;;
Assets;;;;;
Liabilities;;;;;
Direct investor in direct investment enterprises;;;;;
Assets;;;;;
Liabilities;;;;;
Direct investment enterprises in direct investor (reverse investment);;;;;
Assets;;;;;
Liabilities;;;;;
Between fellow enterprises;;;;;
Assets;;;;;
Liabilities;;;;;
If ultimate controlling parent is resident;;;;;
Assets;;;;;
Liabilities;;;;;
If ultimate controlling parent is nonresident;;;;;
Assets;;;;;
Liabilities;;;;;
If ultimate controlling parent is unknown;;;;;
Assets;;;;;
Liabilities;;;;;
Debt Instruments;;;;;
Assets;;;;;
Liabilities;;;;;
Direct investor in direct investment enterprises;;;;;
Assets;;;;;
Liabilities;;;;;
Direct investment enterprises in direct investor (reverse investment);;;;;
Assets;;;;;
Liabilities;;;;;
Between fellow enterprises;;;;;
Assets;;;;;
Liabilities;;;;;
If ultimate controlling parent is resident;;;;;
Assets;;;;;
Liabilities;;;;;
If ultimate controlling parent is nonresident;;;;;
Assets;;;;;
Liabilities;;;;;
If ultimate controlling parent is unknown;;;;;
Assets;;;;;
Liabilities;;;;;
Portfolio investment;;;;;
Assets;;;;;
Liabilities;;;;;
Equity and investment fund shares;;;;;
Assets;;;;;
Liabilities;;;;;
Debt securities;;;;;
Assets;;;;;
Liabilities;;;;;
Short-term;;;;;
Assets;;;;;
Liabilities;;;;;
Long-term;;;;;
Assets;;;;;
Liabilities;;;;;
Other investment;;;;;
Assets;;;;;
Liabilities;;;;;
Short-term;;;;;
Assets;;;;;
Liabilities;;;;;
Long-term;;;;;
Assets;;;;;
Liabilities;;;;;
Financial derivatives (other than reserves) and employee stock options;;;;;
Assets;;;;;
Liabilities;;;;;
International Investment Positions, Additional Analytical Position Data;;;;;
Currency Composition of Debt Claims on Nonresidents by sector;;;;;
Memorandum Items;;;;;
Table A9-I.1a;;;;;
Central bank;;;;;
Total;;;;;
Domestic currency;;;;;
Foreign currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Unallocated;;;;;
Of which one year or less;;;;;
Domestic currency;;;;;
Foreign currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Unallocated;;;;;
Deposit-taking corporations, except the central bank;;;;;
Total;;;;;
Domestic currency;;;;;
Foreign currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Unallocated;;;;;
Of which one year or less;;;;;
Domestic currency;;;;;
Foreign currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Unallocated;;;;;
General Government;;;;;
Total;;;;;
Domestic currency;;;;;
Foreign currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Unallocated;;;;;
Of which one year or less;;;;;
Domestic currency;;;;;
Foreign currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Unallocated;;;;;
Other sectors- Total;;;;;
Total;;;;;
Domestic currency;;;;;
Foreign currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Unallocated;;;;;
Of which one year or less;;;;;
Domestic currency;;;;;
Foreign currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Unallocated;;;;;
Other sectors- OFC;;;;;
Total;;;;;
Domestic currency;;;;;
Foreign currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Unallocated;;;;;
Of which one year or less;;;;;
Domestic currency;;;;;
Foreign currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Unallocated;;;;;
Other sectors- Other;;;;;
Total;;;;;
Domestic currency;;;;;
Foreign currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Unallocated;;;;;
Of which one year or less;;;;;
Domestic currency;;;;;
Foreign currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Unallocated;;;;;
Inter-company lending;;;;;
Total;;;;;
Domestic currency;;;;;
Foreign currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Unallocated;;;;;
Of which one year or less;;;;;
Domestic currency;;;;;
Foreign currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Unallocated;;;;;
Total;;;;;
Total;;;;;
Domestic currency;;;;;
Foreign currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Unallocated;;;;;
Of which one year or less;;;;;
Domestic currency;;;;;
Foreign currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Unallocated;;;;;
Reserve assets;;;;;
In SDR basket;;;;;
Not in SDR basket;;;;;
Currency Composition of Foreign Currency Derivatives by Sector:;;;;;
Notional Value of Contracts with Nonresidents;;;;;
Memorandum Items;;;;;
Table A9-I.1b;;;;;
Central bank;;;;;
Receive foreign currency, by currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Deposit-taking corporations, except the central bank;;;;;
Receive foreign currency, by currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
General Government;;;;;
Receive foreign currency, by currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Other sectors- Total;;;;;
Receive foreign currency, by currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Other sectors- OFC;;;;;
Receive foreign currency, by currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Other sectors- Other;;;;;
Receive foreign currency, by currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Total;;;;;
Receive foreign currency, by currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
